"Step","A_gcn_MT_GraphNorm_lr0.01 - val_MSE","A_gcn_MT_GraphNorm_lr0.01 - val_MSE__MIN","A_gcn_MT_GraphNorm_lr0.01 - val_MSE__MAX","A_gcn_MT_GraphNorm_lr0.005 - val_MSE","A_gcn_MT_GraphNorm_lr0.005 - val_MSE__MIN","A_gcn_MT_GraphNorm_lr0.005 - val_MSE__MAX","A_gcn_MT_GraphNorm_lr0.001 - val_MSE","A_gcn_MT_GraphNorm_lr0.001 - val_MSE__MIN","A_gcn_MT_GraphNorm_lr0.001 - val_MSE__MAX","A_gcn_MT_GraphNorm_lr0.0005 - val_MSE","A_gcn_MT_GraphNorm_lr0.0005 - val_MSE__MIN","A_gcn_MT_GraphNorm_lr0.0005 - val_MSE__MAX","A_gcn_MT_GraphNorm_lr0.0001 - val_MSE","A_gcn_MT_GraphNorm_lr0.0001 - val_MSE__MIN","A_gcn_MT_GraphNorm_lr0.0001 - val_MSE__MAX"
"9","0.08868508785963058","0.08868508785963058","0.08868508785963058","0.08337736129760742","0.08337736129760742","0.08337736129760742","0.09190362691879272","0.09190362691879272","0.09190362691879272","0.10757033101149968","0.10757033101149968","0.10757033101149968","0.1797082381589072","0.1797082381589072","0.1797082381589072"
"19","0.05902038621050971","0.05902038621050971","0.05902038621050971","0.06128724291920662","0.06128724291920662","0.06128724291920662","0.06969757378101349","0.06969757378101349","0.06969757378101349","0.08133367661918912","0.08133367661918912","0.08133367661918912","0.14044748672417232","0.14044748672417232","0.14044748672417232"
"29","0.04998365097812244","0.04998365097812244","0.04998365097812244","0.0506112277507782","0.0506112277507782","0.0506112277507782","0.060437330177852085","0.060437330177852085","0.060437330177852085","0.07042012789419719","0.07042012789419719","0.07042012789419719","0.12060791254043579","0.12060791254043579","0.12060791254043579"
"39","0.046195395823035924","0.046195395823035924","0.046195395823035924","0.04748820832797459","0.04748820832797459","0.04748820832797459","0.05587377292769296","0.05587377292769296","0.05587377292769296","0.06463896642838206","0.06463896642838206","0.06463896642838206","0.10810742527246475","0.10810742527246475","0.10810742527246475"
"49","0.043549690927777975","0.043549690927777975","0.043549690927777975","0.04459239648921149","0.04459239648921149","0.04459239648921149","0.05297753853457315","0.05297753853457315","0.05297753853457315","0.060622171099696844","0.060622171099696844","0.060622171099696844","0.10047092288732529","0.10047092288732529","0.10047092288732529"
"59","0.043249837521995814","0.043249837521995814","0.043249837521995814","0.043617301753589084","0.043617301753589084","0.043617301753589084","0.051433292882783074","0.051433292882783074","0.051433292882783074","0.058053448264087947","0.058053448264087947","0.058053448264087947","0.0945781437414033","0.0945781437414033","0.0945781437414033"
"69","0.043200326817376275","0.043200326817376275","0.043200326817376275","0.042836197784968784","0.042836197784968784","0.042836197784968784","0.04927741310426167","0.04927741310426167","0.04927741310426167","0.056370558483260017","0.056370558483260017","0.056370558483260017","0.09013625979423523","0.09013625979423523","0.09013625979423523"
"79","0.04274415650538036","0.04274415650538036","0.04274415650538036","0.04256021444286619","0.04256021444286619","0.04256021444286619","0.048875742724963596","0.048875742724963596","0.048875742724963596","0.05461942404508591","0.05461942404508591","0.05461942404508591","0.08685921877622604","0.08685921877622604","0.08685921877622604"
"89","0.042530610625232966","0.042530610625232966","0.042530610625232966","0.04248007120830672","0.04248007120830672","0.04248007120830672","0.04809020299996648","0.04809020299996648","0.04809020299996648","0.05406586080789566","0.05406586080789566","0.05406586080789566","0.08433475238936287","0.08433475238936287","0.08433475238936287"
"99","0.04312728877578463","0.04312728877578463","0.04312728877578463","0.04230514967015812","0.04230514967015812","0.04230514967015812","0.047326273151806424","0.047326273151806424","0.047326273151806424","0.05308145231434277","0.05308145231434277","0.05308145231434277","0.08255182206630707","0.08255182206630707","0.08255182206630707"
"109","0.04287778266838619","0.04287778266838619","0.04287778266838619","0.041953082595552714","0.041953082595552714","0.041953082595552714","0.046519549297434945","0.046519549297434945","0.046519549297434945","0.05249508310641561","0.05249508310641561","0.05249508310641561","0.08043005743197032","0.08043005743197032","0.08043005743197032"
"119","0.04300832535539355","0.04300832535539355","0.04300832535539355","0.04191423526832035","0.04191423526832035","0.04191423526832035","0.04636843342866216","0.04636843342866216","0.04636843342866216","0.05165096478802817","0.05165096478802817","0.05165096478802817","0.07929704019001552","0.07929704019001552","0.07929704019001552"
"129","0.04312493971415928","0.04312493971415928","0.04312493971415928","0.042178861796855927","0.042178861796855927","0.042178861796855927","0.04577733629516193","0.04577733629516193","0.04577733629516193","0.051428165818963735","0.051428165818963735","0.051428165818963735","0.07822308582918984","0.07822308582918984","0.07822308582918984"
"139","0.04276593082717487","0.04276593082717487","0.04276593082717487","0.04198977936591421","0.04198977936591421","0.04198977936591421","0.04578780382871628","0.04578780382871628","0.04578780382871628","0.05123436291302953","0.05123436291302953","0.05123436291302953","0.07702338695526123","0.07702338695526123","0.07702338695526123"
"149","0.0426483191549778","0.0426483191549778","0.0426483191549778","0.042006418108940125","0.042006418108940125","0.042006418108940125","0.04554623578275953","0.04554623578275953","0.04554623578275953","0.05086159386805126","0.05086159386805126","0.05086159386805126","0.07604957691260747","0.07604957691260747","0.07604957691260747"
"159","0.042768401226827076","0.042768401226827076","0.042768401226827076","0.04197677331311362","0.04197677331311362","0.04197677331311362","0.04550974337118013","0.04550974337118013","0.04550974337118013","0.050630929214613776","0.050630929214613776","0.050630929214613776","0.07533674580710274","0.07533674580710274","0.07533674580710274"
"169","0.042905249765941074","0.042905249765941074","0.042905249765941074","0.041887888950960975","0.041887888950960975","0.041887888950960975","0.04542468594653266","0.04542468594653266","0.04542468594653266","0.050609006945575984","0.050609006945575984","0.050609006945575984","0.07487977083240237","0.07487977083240237","0.07487977083240237"
"179","0.0423009635082313","0.0423009635082313","0.0423009635082313","0.04211028931396348","0.04211028931396348","0.04211028931396348","0.04531932143228395","0.04531932143228395","0.04531932143228395","0.05046031464423452","0.05046031464423452","0.05046031464423452","0.07401475097451891","0.07401475097451891","0.07401475097451891"
"189","0.042591783085039685","0.042591783085039685","0.042591783085039685","0.04217163473367691","0.04217163473367691","0.04217163473367691","0.045340829129729955","0.045340829129729955","0.045340829129729955","0.05043603266988482","0.05043603266988482","0.05043603266988482","0.07411451318434306","0.07411451318434306","0.07411451318434306"
"199","0.042853894510439465","0.042853894510439465","0.042853894510439465","0.04217057728341648","0.04217057728341648","0.04217057728341648","0.04540965812546866","0.04540965812546866","0.04540965812546866","0.05023659606065069","0.05023659606065069","0.05023659606065069","0.07327318723712649","0.07327318723712649","0.07327318723712649"
"209","0.04250311691846166","0.04250311691846166","0.04250311691846166","0.04205516566123281","0.04205516566123281","0.04205516566123281","0.045376653649977276","0.045376653649977276","0.045376653649977276","0.050121349947793145","0.050121349947793145","0.050121349947793145","0.07285277119704656","0.07285277119704656","0.07285277119704656"
"219","0.042714714471782954","0.042714714471782954","0.042714714471782954","0.04203520715236664","0.04203520715236664","0.04203520715236664","0.04531761312058994","0.04531761312058994","0.04531761312058994","0.049983784556388855","0.049983784556388855","0.049983784556388855","0.0724218317440578","0.0724218317440578","0.0724218317440578"
"229","0.04276214273912566","0.04276214273912566","0.04276214273912566","0.04232087731361389","0.04232087731361389","0.04232087731361389","0.04530847391911915","0.04530847391911915","0.04530847391911915","0.04996627090232713","0.04996627090232713","0.04996627090232713","0.07208776473999023","0.07208776473999023","0.07208776473999023"
"239","0.04260480244244848","0.04260480244244848","0.04260480244244848","0.0421516416328294","0.0421516416328294","0.0421516416328294","0.0451494146670614","0.0451494146670614","0.0451494146670614","0.049721489527395794","0.049721489527395794","0.049721489527395794","0.07223330651010786","0.07223330651010786","0.07223330651010786"
"249","0.04281912052205631","0.04281912052205631","0.04281912052205631","0.04227078120623316","0.04227078120623316","0.04227078120623316","0.045173101127147675","0.045173101127147675","0.045173101127147675","0.0499237807733672","0.0499237807733672","0.0499237807733672","0.0716064412678991","0.0716064412678991","0.0716064412678991"
"259","0.042625242578131814","0.042625242578131814","0.042625242578131814","0.04228027271372931","0.04228027271372931","0.04228027271372931","0.045170986758811135","0.045170986758811135","0.045170986758811135","0.049740924899067195","0.049740924899067195","0.049740924899067195","0.071685505764825","0.071685505764825","0.071685505764825"
"269","0.04267016212855067","0.04267016212855067","0.04267016212855067","0.042192102542945316","0.042192102542945316","0.042192102542945316","0.04495345162493842","0.04495345162493842","0.04495345162493842","0.04956919061286109","0.04956919061286109","0.04956919061286109","0.07147377410105296","0.07147377410105296","0.07147377410105296"
"279","0.04261846414634159","0.04261846414634159","0.04261846414634159","0.042306375822850635","0.042306375822850635","0.042306375822850635","0.04507197705762727","0.04507197705762727","0.04507197705762727","0.049774332238095145","0.049774332238095145","0.049774332238095145","0.07129412570169993","0.07129412570169993","0.07129412570169993"
"289","0.042592273226806095","0.042592273226806095","0.042592273226806095","0.04226822139961379","0.04226822139961379","0.04226822139961379","0.04502857636128153","0.04502857636128153","0.04502857636128153","0.049401432275772095","0.049401432275772095","0.049401432275772095","0.07088174245187215","0.07088174245187215","0.07088174245187215"
"299","0.04246854994978223","0.04246854994978223","0.04246854994978223","0.04224987807018416","0.04224987807018416","0.04224987807018416","0.044965370425156186","0.044965370425156186","0.044965370425156186","0.04934877636177199","0.04934877636177199","0.04934877636177199","0.0706700501697404","0.0706700501697404","0.0706700501697404"
"309","0.04244525358080864","0.04244525358080864","0.04244525358080864","0.04220573018704142","0.04220573018704142","0.04220573018704142","0.04510431896362986","0.04510431896362986","0.04510431896362986","0.04955331236124039","0.04955331236124039","0.04955331236124039","0.07072008826902934","0.07072008826902934","0.07072008826902934"
"319","0.0426099779350417","0.0426099779350417","0.0426099779350417","0.04239292708890779","0.04239292708890779","0.04239292708890779","0.04512126424482891","0.04512126424482891","0.04512126424482891","0.04949111385004861","0.04949111385004861","0.04949111385004861","0.07066804809229714","0.07066804809229714","0.07066804809229714"
"329","0.04251054035765784","0.04251054035765784","0.04251054035765784","0.04234298797590392","0.04234298797590392","0.04234298797590392","0.04513244330883026","0.04513244330883026","0.04513244330883026","0.04948501608201435","0.04948501608201435","0.04948501608201435","0.07052850191082273","0.07052850191082273","0.07052850191082273"
"339","0.04268320170896394","0.04268320170896394","0.04268320170896394","0.04224726823823793","0.04224726823823793","0.04224726823823793","0.04503030223505838","0.04503030223505838","0.04503030223505838","0.04935683735779354","0.04935683735779354","0.04935683735779354","0.07062121800013951","0.07062121800013951","0.07062121800013951"
"349","0.042620675904410224","0.042620675904410224","0.042620675904410224","0.04231982412082808","0.04231982412082808","0.04231982412082808","0.04515216765659196","0.04515216765659196","0.04515216765659196","0.049428640199559074","0.049428640199559074","0.049428640199559074","0.07030962726899556","0.07030962726899556","0.07030962726899556"
"359","0.042664987700326104","0.042664987700326104","0.042664987700326104","0.04237442836165428","0.04237442836165428","0.04237442836165428","0.04519608989357948","0.04519608989357948","0.04519608989357948","0.04937441487397466","0.04937441487397466","0.04937441487397466","0.07044156960078649","0.07044156960078649","0.07044156960078649"
"369","0.042514154953616004","0.042514154953616004","0.042514154953616004","0.04221056295292718","0.04221056295292718","0.04221056295292718","0.04504458499806268","0.04504458499806268","0.04504458499806268","0.04938375896641186","0.04938375896641186","0.04938375896641186","0.0701974949666432","0.0701974949666432","0.0701974949666432"
"379","0.04268977844289371","0.04268977844289371","0.04268977844289371","0.04228627894605909","0.04228627894605909","0.04228627894605909","0.045085515294756205","0.045085515294756205","0.045085515294756205","0.04947947870407786","0.04947947870407786","0.04947947870407786","0.07036730753523963","0.07036730753523963","0.07036730753523963"
"389","0.042589044464485984","0.042589044464485984","0.042589044464485984","0.04235384613275528","0.04235384613275528","0.04235384613275528","0.045198705579553335","0.045198705579553335","0.045198705579553335","0.049343403960977285","0.049343403960977285","0.049343403960977285","0.07018709395612989","0.07018709395612989","0.07018709395612989"
"399","0.04258207391415324","0.04258207391415324","0.04258207391415324","0.042366802160229","0.042366802160229","0.042366802160229","0.04505336603948048","0.04505336603948048","0.04505336603948048","0.04936568971191134","0.04936568971191134","0.04936568971191134","0.07019476060356412","0.07019476060356412","0.07019476060356412"